source_zip,filename,filename_pii,pdf_doi,pdf_title,text_layers
marine antifouling.zip,30.pdf,,10.1016/j.marpolbul.2021.112895,Marine Pollution Bulletin 172 (2021) 112895,1
marine antifouling.zip,31.pdf,,10.1016/j.jcis.2022.08.178,Antibacterial-renew dual-function anti-biofouling strategy: Self-,1
marine antifouling.zip,32.pdf,,10.1016/j.porgcoat.2021.106298,Progress in Organic Coatings 157 (2021) 106298,1
marine antifouling.zip,33.pdf,,10.1016/j.polymer.201,Coatings with a self-generating hydrogel surface for antifouling,1
marine antifouling.zip,34.pdf,,10.1016/j.cis.2024.103090,Advances in Colloid and Interface Science 324 (2024) 103090,1
marine antifouling.zip,35.pdf,,10.1016/j.porgcoat.2024.108213,Progress in Organic Coatings 188 (2024) 108213,1
marine antifouling.zip,36.pdf,,10.1016/j.cej.2021.129755,Chemical Engineering Journal 421 (2021) 129755,1
marine antifouling.zip,37.pdf,,10.1016/j.carbpol.2022.120504,Carbohydrate Polymers 304 (2023) 120504,1
marine antifouling.zip,38.pdf,,10.1016/j.susmat.2024.e01214,The integrated anti-corrosion and anti-biofouling coating with high,1
marine antifouling.zip,39.pdf,,10.1016/j.colsurfa.2021.126946,Colloids and Surfaces A: Physicochemical and Engineering Aspects 625 (2021) 126946,1
marine antifouling.zip,4.pdf,,10.1016/j.jcis.2022.08.004,Morphology regulation and application of nano cobalt oxide (Co 3O4),1
marine antifouling.zip,40.pdf,,10.1016/j.mtchem.2025.102918,Immobilization of Cu-MOF with SiO2 aerogel in a marine coating to,1
marine antifouling.zip,41.pdf,,10.1039/d0tb02465a,"Self-healing, highly elastic and amphiphilic",1
marine antifouling.zip,42.pdf,,10.1002/advs.202105008,RESEARCH ARTICLE,1
marine antifouling.zip,43.pdf,,10.1002/adfm.202011145,© 2021 Wiley-VCH GmbH2011145 (1 of 7),1
marine antifouling.zip,44.pdf,,10.1002/adfm.202508400,RESEARCH ARTICLE,1
marine antifouling.zip,45.pdf,,10.1039/c7ta05241c,Self-repairing silicone coatings for marine anti-,1
marine antifouling.zip,46.pdf,,,Advanced nanostructured surfaces for,1
marine antifouling.zip,47.pdf,,10.1016/j.susmat.2025.e01278,"Transparent superhydrophilic cellulose-based coating with anti-fogging,",1
marine antifouling.zip,48.pdf,,10.1016/j.porgcoat.2016.12.011,Progress in Organic Coatings 104 (2017) 58–63,1
marine antifouling.zip,49.pdf,,10.1016/j.jcis.2013.12.019,Feature Article,1
marine antifouling.zip,5.pdf,,10.1039/d0en00023j,"Cite this: Environ. Sci.: Nano, 2020,",1
marine antifouling.zip,50.pdf,,10.1016/j.marpolbul.2024.116931,Preparation and antifouling performance of tin-free self-polishing,1
marine antifouling.zip,51.pdf,,10.1016/j.porgcoat.2021.106356,Progress in Organic Coatings 158 (2021) 106356,1
marine antifouling.zip,52.pdf,,10.1016/j.jhazmat.2019.120984,Contents lists available at ScienceDirect,1
marine antifouling.zip,53.pdf,,10.1016/j.porgcoat.2023.107719,Progress in Organic Coatings 183 (2023) 107719,1
marine antifouling.zip,54.pdf,,10.1016/j.jes.2025.05.038,Progress in anti-biofouling materials and coatings for the marine,1
marine antifouling.zip,55.pdf,,10.1016/j.jcis.2023.01.058,Surface hydrolysis-anchored eugenol self-polishing marine antifouling,1
marine antifouling.zip,56.pdf,,10.1016/j.colsurfa.2021.127323,Colloids and Surfaces A: Physicochemical and Engineering Aspects 628 (2021) 127323,1
marine antifouling.zip,57.pdf,,10.1016/j.porgcoat.2024.108349,Progress in Organic Coatings 189 (2024) 108349,1
marine antifouling.zip,58.pdf,,10.1016/j.cej.2022.137875,Chemical Engineering Journal 449 (2022) 137875,1
marine antifouling.zip,59.pdf,,10.1016/j.polymer.2013.04.010,Effects of hydrolyzable comonomer and cross-linking on anti-biofouling,1
marine antifouling.zip,6.pdf,,10.1002/adma.202413035,RESEARCH ARTICLE,1
marine antifouling.zip,60.pdf,,10.1016/j.cej.2024.159057,A catfish Skin-inspired dual-antifouling epoxy thermoset as coatings for,1
marine antifouling.zip,61.pdf,,10.1016/j.bioactmat.2019.04.003,Contents lists available atScienceDirect,1
marine antifouling.zip,62.pdf,,10.1039/d1ma00053e,"2216 |  Mater. Adv., 2021, 2, 2216–2230 © 2021 The Author(s). Published by the Royal Society of Chemistry",1
marine antifouling.zip,63.pdf,,10.1080/08927014.2024.2443029,The Journal of Bioadhesion and Bioﬁlm Research,1
marine antifouling.zip,64.pdf,,10.1002/adfm.202310702,RESEARCH ARTICLE,1
marine antifouling.zip,65.pdf,,,/G22/G23/G21/G22,1
marine antifouling.zip,66.pdf,,10.1002/admi.202201195,2201195 (1 of 12) © 2022 Wiley-VCH GmbH,1
marine antifouling.zip,67.pdf,,10.1039/c8sm01853g,"Highlighting research from the Marine Engineering Materials Team,",1
marine antifouling.zip,68.pdf,,10.1016/j.susmat.2025.e01521,Stimuli-responsive composite coating based on dynamic metal-ligand,1
marine antifouling.zip,69.pdf,,10.1016/j.jhazmat.2022.128983,0304-3894/© 2022 Elsevier B.V. All rights reserved.,1
marine antifouling.zip,7.pdf,,10.1021/acsami.5b04234,Polysiloxane-Based Block Copolymers with Marine Bacterial Anti-,1
marine antifouling.zip,70.pdf,,10.1016/j.porgcoat.2024.108402,Progress in Organic Coatings 191 (2024) 108402,1
marine antifouling.zip,71.pdf,,10.1016/j.porgcoat.2021.106552,Progress in Organic Coatings 161 (2021) 106552,1
marine antifouling.zip,72.pdf,,10.1016/j.porgcoat.2018.08.003,Contents lists available at ScienceDirect,1
marine antifouling.zip,73.pdf,,10.1016/j.polymer.2016.03.017,Biodegradable polymers for marine antibiofouling:,1
marine antifouling.zip,74.pdf,,10.1016/j.jcis.2020.02.049,Green biolubricant infused slippery surfaces to combat marine,1
marine antifouling.zip,75.pdf,,10.1016/j.colsurfa.2022.129693,Colloids and Surfaces A: Physicochemical and Engineering Aspects 651 (2022) 129693,1
marine antifouling.zip,76.pdf,,10.1016/j.porgcoat.2023.107727,Progress in Organic Coatings 183 (2023) 107727,1
marine antifouling.zip,77.pdf,,10.1016/j.oceaneng.2023.114415,Ocean Engineering 278 (2023) 114415,1
marine antifouling.zip,78.pdf,,10.1016/j.cej.2023.142389,Chemical Engineering Journal 463 (2023) 142389,1
marine antifouling.zip,79.pdf,,10.1016/j.jmst.2022.11.029,Contents lists available at ScienceDirect,1
marine antifouling.zip,8.pdf,,10.11777/j.issn1000-3304.2018.18074,(华南理工大学材料科学与工程学院　广州 510640),1
marine antifouling.zip,80.pdf,,10.1016/j.cej.2025.164362,Nature-inspired silicone-polythiourethane coatings based on capsaicin,1
marine antifouling.zip,81.pdf,,10.1039/d1mh01103k,"This journal is © The Royal Society of Chemistry 2021 Mater. Horiz., 2021, 8, 3201–3238 |  3201",1
marine antifouling.zip,82.pdf,,10.1080/21622515.2024.2317819,Environmental Technology Reviews,1
marine antifouling.zip,83.pdf,,10.1002/cjoc.202300321,*E-mail: msgzzhang@scut.edu.cn,1
marine antifouling.zip,84.pdf,,10.1002/adfm.202305995,RESEARCH ARTICLE,1
marine antifouling.zip,85.pdf,,,Information Systems Engineering and Management 43,1
marine antifouling.zip,86.pdf,,10.1002/admi.202201882,2201882 (1 of 11) © 2023 The Authors. Advanced Materials Interfaces published by Wiley-VCH GmbH,1
marine antifouling.zip,87.pdf,,10.1016/j.heliyon.2024.e28513,Heliyon 10 (2024) e28513,1
marine antifouling.zip,88.pdf,,10.1016/j.jece.2018.10.050,Contents lists available at ScienceDirect,1
marine antifouling.zip,89.pdf,,10.1016/j.cej.2023.142769,Chemical Engineering Journal 464 (2023) 142769,1
marine antifouling.zip,9.pdf,,10.1002/adfm.202502816,RESEARCH ARTICLE,1
marine antifouling.zip,90.pdf,,10.1016/j.jmst.2024.05.025,Contents lists available at ScienceDirect,1
marine antifouling.zip,91.pdf,,10.1016/j.colsurfb.2012.04.045,Colloids and Surfaces B: Biointerfaces 100 (2012) 31– 35,1
marine antifouling.zip,92.pdf,,10.1016/j.cis.2020.102264,Historical Perspective,1
marine antifouling.zip,93.pdf,,10.1016/j.porgcoat.2019.05.027,Contents lists available at ScienceDirect,1
marine antifouling.zip,94.pdf,,10.1016/j.porgcoat.2019.03.020,Contents lists available atScienceDirect,1
marine antifouling.zip,95.pdf,,10.1016/j.progpolymsci.2024.101840,Progress in Polymer Science 154 (2024) 101840,1
marine antifouling.zip,96.pdf,,10.1016/j.porgcoat.2023.107939,Progress in Organic Coatings 185 (2023) 107939,1
marine antifouling.zip,97.pdf,,10.1016/j.porgcoat.2021.106674,Progress in Organic Coatings 163 (2022) 106674,1
marine antifouling.zip,98.pdf,,10.1016/j.jcis.2021.04.031,Regular Article,1
marine antifouling.zip,99.pdf,,10.1016/j.porgcoat.2024.108743,MarinebiofoulingmitigationofPDMS-basednetworkcoatingwith,1
marine antifouling.zip,Adv Funct Materials - 2025 - Chen - Poly N‐isopropylacrylamide  Self‐Fabricated Coating for Marine Anti‐Biofouling.pdf,,10.1002/adfm.202525696,RESEARCH ARTICLE,1
marine antifouling.zip,Adv Funct Materials - 2025 - Shu - Fluorine‐Free Amphiphilic Copolymers for Broad‐Spectrum Marine Biofouling Deterrence.pdf,,10.1002/adfm.202502065,RESEARCH ARTICLE,1
marine antifouling.zip,Adv Funct Materials - 2025 - Zhang - Self‐Reinforcing Gradient Antifouling Coating with High Adhesion  On‐Demand.pdf,,10.1002/adfm.202508400,RESEARCH ARTICLE,1
marine antifouling.zip,Adv Materials Inter - 2019 - Xie - Self‐Stratifying Silicone Coating with Nonleaching Antifoulant for Marine.pdf,,10.1002/admi.201900535,"1900535 (1 of 9) © 2019 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim",1
marine antifouling.zip,Adv Materials Inter - 2024 - Jeong - Polydopamine‐Mediated  Amphiphilic Poly Carboxybetaine Methacrylamide‐r‐Trifluoroethyl.pdf,,10.1002/admi.202300871,RESEARCH ARTICLE,1
marine antifouling.zip,Adv Materials Inter - 2024 - Koschitzki - Marine Fouling Release Performance of Amphiphilic Carboxybetaine.pdf,,10.1002/admi.202400370,RESEARCH ARTICLE,1
marine antifouling.zip,Adv Materials Inter - 2025 - Do - Sediment‐Resistant Marine Antifouling Coating Based on Amphiphilic Copolymer Brushes.pdf,,10.1002/admi.202500491,RESEARCH ARTICLE,1
marine antifouling.zip,Adv Materials Technologies - 2025 - Chen - A Self‐Polishing Coating with Dual Anti‐Fouling Strategies and its Preparation.pdf,,10.1002/admt.202401534,RESEARCH ARTICLE,1
marine antifouling.zip,amphiphilic-dicyclopentenyl-carboxybetaine-containing-copolymers-for-marine-fouling-release-applications.pdf,,10.1021/acsami.0c07599,Amphiphilic Dicyclopentenyl/Carboxybetaine-Containing,1
marine antifouling.zip,amphiphilic-poly(sbma-co-egdea)-coatings-for-marine-antifouling-insights-into-design-criteria-for-hydrophobic-monomers.pdf,,10.1021/acs.biomac.5c00875,AmphiphilicPoly(SBMA-co-EGDEA)CoatingsforMarineAntifouling:,1
marine antifouling.zip,Antifouling properties of amphiphilic poly 3-hydroxyalkanoate   an environmentally-friendly coating.pdf,,10.1080/08927014.2021.1981298,The Journal of Bioadhesion and Bioﬁlm Research,1
marine antifouling.zip,antifouling-and-antimicrobial-coatings-from-zwitterionic-and-cationic-binary-polymer-brushes-assembled-via-click.pdf,,10.1021/acs.iecr.7b03132,Antifouling and Antimicrobial Coatings from Zwitterionic and,1
marine antifouling.zip,antifouling-and-bactericidal-zwitterionic-polymer-coatings-with-synergistic-inhibitory-and-killing-properties.pdf,,10.1021/acsabm.4c01776,AntifoulingandBactericidalZwitterionicPolymerCoatingswith,1
marine antifouling.zip,biodegradable-polymer-with-hydrolysis-induced-zwitterions-for-antibiofouling (1).pdf,,10.1021/acsami.8b00962,Biodegradable Polymer with Hydrolysis-Induced Zwitterions for,1
marine antifouling.zip,biodegradable-polymer-with-hydrolysis-induced-zwitterions-for-antibiofouling (2).pdf,,10.1021/acsami.1c06030,Bioinspired Durable Antibacterial and Antifouling Coatings Based,1
marine antifouling.zip,biodegradable-polymer-with-hydrolysis-induced-zwitterions-for-antibiofouling (3).pdf,,10.1021/acsami.4c06525,Bioinspired Sulfobetaine Borneol Fluorinated Amphiphilic Polymers,1
marine antifouling.zip,biodegradable-polymer-with-hydrolysis-induced-zwitterions-for-antibiofouling (4).pdf,,10.1039/c8nj04298e,"19908 | New J. Chem., 2018, 42, 19908- -19916 This journal is© The Royal Society of Chemistry and the Centre National de la Recherche Scientifique 2018",1
marine antifouling.zip,biodegradable-polymer-with-hydrolysis-induced-zwitterions-for-antibiofouling (5).pdf,,10.3390/coatings11111345,Design and Preparation of PU/EP Blend Resin Grafted by,1
marine antifouling.zip,biodegradable-polymer-with-hydrolysis-induced-zwitterions-for-antibiofouling (6).pdf,,10.3390/coatings12070891,"Citation: Dong, M.; Liu, L.; Wang, D.;",1
marine antifouling.zip,biodegradable-polymer-with-hydrolysis-induced-zwitterions-for-antibiofouling (7).pdf,,10.3390/coatings12070988,"Citation: Liu, J.; Sun, J.; Duan, J.;",1
marine antifouling.zip,biodegradable-polymer-with-hydrolysis-induced-zwitterions-for-antibiofouling (8).pdf,,10.3390/coatings13091643,"Citation: Wang, D.; Liu, R.; Liu, X.;",1
marine antifouling.zip,biodegradable-polymer-with-hydrolysis-induced-zwitterions-for-antibiofouling (9).pdf,,10.3390/coatings15050588,Academic Editor: Ivan Jerman,1
marine antifouling.zip,MARINEBIOFOULINGINHEATEXCHANGERS.pdf,,,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/260204618",1
marine antifouling.zip,pan-et-al-2020-from-the-nature-for-the-nature-an-eco-friendly-antifouling-coating-consisting-of-poly(lactic-acid)-based.pdf,,10.1021/acssuschemeng.9b06917,“From the Nature for the Nature ”: An Eco-Friendly Antifouling,1
marine antifouling.zip,R-102.pdf,,10.1039/d1py00512j,rsc.li/polymers,1
marine antifouling.zip,R-103.pdf,,10.1039/d1py00810b,"Cite this: Polym. Chem., 2021, 12,",1
marine antifouling.zip,R-104.pdf,,10.1039/d1qi01203g,INORGANIC CHEMISTRY,1
marine antifouling.zip,R-106.pdf,,10.1021/acsami.9b01247,Biodegradable Poly(ester- co-acrylate) with Antifoulant Pendant,1
marine antifouling.zip,R-107.pdf,,10.1021/acsami.9b16775,Self-Generating and Self-Renewing Zwitterionic Polymer Surfaces,1
marine antifouling.zip,R-108.pdf,,10.1021/acsami.1c02273,Kill−Resist−Renew Trinity: Hyperbranched Polymer with Self-,1
marine antifouling.zip,R-109.pdf,,10.1073/pnas.1201973109/-/DCSupplemental,Liquid-infused structured surfaces with exceptional,1
marine antifouling.zip,R-110.pdf,,10.22207/JPAM.17.3.02,"Citation: Subbaiyan R, Ganesan A, Varadharajan V. Bioprospecting and Exploration of the Natural Antifouling Approaches against",1
marine antifouling.zip,R-111.pdf,,,"Sustainability, Agri, Food and Environmental Research, (ISSN: 0719-3726), 10(X), 2022:",1
marine antifouling.zip,R-113.pdf,,10.1021/acs.langmuir.1c00984,Silicone Elastomer with Self-Generating Zwitterions for Antifouling,1
marine antifouling.zip,水凝胶-骨修复-105.pdf,,10.1039/d3mh00544e,"This journal is © The Royal Society of Chemistry 2023 Mater. Horiz., 2023, 10, 3797–3806 |  3797",1
marine antifouling.zip,海洋去污微生物.pdf,,10.1016/j.pmatsci.2017.02.001,Recent progress in marine foul-release polymeric,1
marine antifouling2.zip,!1-s2.0-S0009261421006771-main.pdf,S0009261421006771,10.1016/j.cplett.2021.138994,Chemical Physics Letters 781 (2021) 138994,1
marine antifouling2.zip,!1-s2.0-S0257897225004852-main.pdf,S0257897225004852,10.1016/j.surfcoat.2025.132211,Eco-friendly quaternary ammonium modified PDMS coatings with,1
marine antifouling2.zip,!1-s2.0-S0300944015300333-main.pdf,S0300944015300333,10.1016/j.porgcoat.2015.06.022,Progress in Organic Coatings 88 (2015) 92–105,1
marine antifouling2.zip,!1-s2.0-S0300944016301266-main.pdf,S0300944016301266,10.1016/j.porgcoat.2016.10.028,Progress in Organic Coatings 103 (2017) 126–134,1
marine antifouling2.zip,!1-s2.0-S0300944020311425-main.pdf,S0300944020311425,10.1016/j.porgcoat.2020.105931,Progress in Organic Coatings 149 (2020) 105931,1
marine antifouling2.zip,!layer-by-layer-click-deposition-of-functional-polymer-coatings-for-combating-marine-biofouling.pdf,,10.1021/bm300757e,Layer-by-Layer Click Deposition of Functional Polymer Coatings for,1
marine antifouling2.zip,!Letters Applied Microbiology - 2015 - Ajit Walter - Assessment of antifouling efficacy of polyhedral oligomeric.pdf,,10.1111/lam.12457,ORIGINAL ARTICLE,1
marine antifouling2.zip,!probing-the-structural-dependence-of-carbon-space-lengths-of-poly(n-hydroxyalkyl-acrylamide)-based-brushes-on.pdf,,10.1021/bm500598a,Probing the Structural Dependence of Carbon Space Lengths of,1
marine antifouling2.zip,!relevance-of-the-hydrolysis-state-of-silyl-acrylate-based-coatings-on-their-antifouling-performance.pdf,,10.1021/acsami.5c25268,RelevanceoftheHydrolysisStateofSilylAcrylate-BasedCoatings,1
marine antifouling2.zip,!s11998-016-9801-9.pdf,,10.1007/s11998-016-9801-9,Long-term stability of PEG-based antifouling surfaces,1
marine antifouling2.zip,!s11998-024-01018-y.pdf,,10.1007/s11998-,Synthesis of eugenol ester-based sily-acrylate polymer and its,1
marine antifouling2.zip,#1-s2.0-S0001868620300464-main.pdf,S0001868620300464,10.1016/j.cis.2020.102141,Historical perspective,1
marine antifouling2.zip,#1-s2.0-S0009250919305457-main.pdf,S0009250919305457,10.1016/j.ces.2019.06.042,Slime-resistant marine anti-biofouling coating with PVP-based,1
marine antifouling2.zip,#1-s2.0-S0257897224011782-main.pdf,S0257897224011782,10.1016/j.surfcoat.2024.131547,A bio-inspired liquid-like smooth copolymer coating with superior,1
marine antifouling2.zip,#1-s2.0-S1381514817301335-main.pdf,S1381514817301335,10.1016/j.reactfunctpolym.2017.07.006,Contents lists available at ScienceDirect,1
marine antifouling2.zip,#1-s2.0-S2214993724001957-main.pdf,S2214993724001957,10.1016/j.susmat.2024.e01015,Development of a mechanically robust silicon-based cross-linking polymer,1
marine antifouling2.zip,#1-s2.0-S2468013325000580-main.pdf,S2468013325000580,10.1016/j.joes.2025.08.011,Research progress of environmentally friendly degradable marine,1
marine antifouling2.zip,#Adv Funct Materials - 2020 - Maan - Recent Developments and Practical Feasibility of Polymer‐Based Antifouling Coatings.pdf,,10.1002/adfm.202000936,"2000936 (1 of 30) © 2020 The Authors. Published by WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim",1
marine antifouling2.zip,#Advanced Materials - 2025 - Huang - Leveraging Polymeric Design for Marine Anti‐Biofouling  Mechanism  System  and Future.pdf,,10.1002/adma.202518234,LeveragingPolymericDesignforMarineAnti-Biofouling:,1
marine antifouling2.zip,#amphiphilic-zwitterionic-acrylate-methacrylate-copolymers-for-marine-fouling-release-coatings.pdf,,10.1021/acs.langmuir.1c00428,Amphiphilic Zwitterionic Acrylate/Methacrylate Copolymers for,1
marine antifouling2.zip,#annurev-chembioeng-060718-030401.pdf,,10.1146/annurev-chembioeng-,"Downloaded from www.annualreviews.org.  Guest (guest) IP:  111.117.112.151 On: Fri, 06 Feb 2026 02:33:38",1
marine antifouling2.zip,#B801491D.pdf,,10.1039/b801491d,Advances in polymers for anti-biofouling,1
marine antifouling2.zip,#C8SM01853G.pdf,,10.1039/c8sm01853g,"Highlighting research from the Marine Engineering Materials Team,",1
