material_id,material_class,material_name,surface_energy_mN_m,water_contact_angle_deg,elastic_modulus_MPa,roughness_Ra_nm,coating_thickness_um,hydrophilicity_index,charge_density,crosslink_density,antifouling_efficiency_pct,fouling_release_pct,antibacterial_rate_pct,diatom_removal_pct,energy_angle_ratio,mech_surface_index,roughness_thickness_ratio,composite_potential,elastic_energy_product
SIL-011,silicone,PDMS-苯基甲基硅油,20.0,115,2.2,14,250,0.09,0.04,0.52,80,91,46,83,0.1724137931034483,0.10468357288251127,5.5999776000896e-05,0.45199999999999996,29.664793948382652
SIL-012,silicone,"PDMS+4,5-二氯-2-n辛基",19.5,112,3.8,18,180,0.12,0.15,0.65,86,89,72,87,0.17256637168141592,0.18823391014966143,9.999944444753085e-05,0.5017857142857143,38.012497944754955
FLU-001,fluoropolymer,含氟聚氨酯,16.0,120,15.0,10,100,0.05,0.08,0.8,82,88,58,84,0.1322314049586777,0.13862943611198905,9.99990000099999e-05,0.5317142857142857,61.96773353931867
FLU-002,fluoropolymer,PTFE涂层,18.5,115,500.0,50,50,0.03,0.02,0.9,70,75,35,68,0.15948275862068967,0.18649818303254592,0.000999980000399992,0.5065714285714286,413.6725758374611
FLU-003,fluoropolymer,氟硅树脂,15.0,125,12.0,8,120,0.06,0.1,0.85,88,94,62,90,0.11904761904761904,0.1538969614476922,6.66661111157407e-05,0.5535714285714286,51.96152422706631
FLU-004,fluoropolymer,PVDF涂层,25.0,95,2000.0,35,80,0.08,0.05,0.88,65,70,42,62,0.2604166666666667,0.6081121867666986,0.00043749453131835853,0.4845,1118.033988749895
FLU-005,fluoropolymer,含氟丙烯酸酯,17.5,118,10.0,15,150,0.07,0.12,0.78,84,90,56,86,0.14705882352941177,0.16785266909588598,9.999933333777775e-05,0.5265714285714287,55.33985905294664
FLU-006,fluoropolymer,全氟聚醚涂层,14.0,128,8.0,5,100,0.02,0.06,0.82,90,95,65,92,0.10852713178294573,0.04394449154672439,4.999950000499995e-05,0.5408571428571428,39.59797974644666
FLU-007,fluoropolymer,氟碳树脂+纳米SiO2,16.5,122,18.0,60,120,0.04,0.08,0.84,86,92,60,88,0.13414634146341464,0.11777755916665761,0.0004999958333680553,0.5132857142857143,70.0035713374682
FLU-008,fluoropolymer,Intersleek900型,15.5,124,12.0,12,150,0.05,0.09,0.86,92,96,68,94,0.124,0.12824746787307684,7.99994666702222e-05,0.5473571428571428,53.693575034635195
HYD-001,hydrogel,PVA水凝胶,45.0,35,0.5,50,500,0.85,0.2,0.3,75,60,70,65,1.25,0.34464534189193974,9.99998000004e-05,0.4185714285714286,31.81980515339464
HYD-002,hydrogel,PEG水凝胶,42.0,40,0.8,40,400,0.8,0.15,0.35,80,65,75,72,1.024390243902439,0.47022933192169525,9.9999750000625e-05,0.4333571428571429,37.56594202199646
HYD-003,hydrogel,PHEMA水凝胶,40.0,45,1.0,35,350,0.75,0.18,0.4,78,62,72,68,0.8695652173913043,0.5198603854199589,9.999971428653061e-05,0.45200000000000007,40.0
HYD-004,hydrogel,硅-水凝胶杂化,32.0,60,2.0,30,300,0.6,0.12,0.5,86,82,78,84,0.5245901639344263,0.6591673732008658,9.999966666777777e-05,0.4831428571428571,45.254833995939045
HYD-005,hydrogel,喷涂水凝胶涂层,44.0,38,0.3,55,200,0.88,0.22,0.25,72,55,68,60,1.1282051282051282,0.23088055273139213,0.00027499862500687496,0.4214285714285715,24.099792530227308
HYD-006,hydrogel,壳聚糖水凝胶,43.0,42,0.6,45,450,0.82,0.3,0.32,76,58,82,66,1.0,0.3854029759815031,9.99997777782716e-05,0.4457142857142857,33.307656777383784
HYD-007,hydrogel,海藻酸钠水凝胶,46.0,32,0.4,60,500,0.9,0.25,0.28,70,52,65,58,1.393939393939394,0.30282501295909164,0.00011999976000048,0.42178571428571426,29.092954473549092
HYD-008,hydrogel,硅水凝胶+负电荷,35.0,55,1.5,25,280,0.65,0.35,0.45,88,85,80,86,0.625,0.5955889757182008,8.928539540930211e-05,0.5017857142857144,42.86607049870561
ZWI-001,zwitterionic,PSBMA涂层,38.0,48,1.2,20,200,0.78,0.5,0.42,85,78,82,80,0.7755102040816326,0.6149967410841307,9.999950000249999e-05,0.5284285714285715,41.62691437039262
ZWI-002,zwitterionic,PCBMA涂层,36.0,52,1.5,18,180,0.72,0.48,0.45,88,82,85,84,0.6792452830188679,0.6597293269493917,9.999944444753085e-05,0.5322857142857143,44.090815370097204
ZWI-003,zwitterionic,PSBMA@VTMO@SiO2,35.0,50,3.0,65,250,0.7,0.55,0.5,90,85,88,88,0.6862745098039216,0.9704060527839233,0.00025999896000416,0.5346428571428571,60.6217782649107
ZWI-004,zwitterionic,CBMA-Si纳米复合,34.0,55,3.5,55,220,0.68,0.52,0.52,92,88,90,90,0.6071428571428571,1.0227726298078665,0.0002499988636415289,0.5404285714285714,63.608175575157006
ZWI-005,zwitterionic,磺酸甜菜碱丙烯酸酯,37.0,46,1.0,22,200,0.8,0.45,0.38,82,75,78,76,0.7872340425531915,0.5545177444479562,0.00010999945000274999,0.5220714285714286,37.0
ZWI-006,zwitterionic,磷酸胆碱聚合物,39.0,44,1.8,15,150,0.75,0.55,0.48,86,80,84,82,0.8666666666666667,0.7722145628858688,9.999933333777775e-05,0.5380714285714286,52.32399067349508
SPC-001,self_polishing,丙烯酸铜SPC,30.0,75,20.0,30,200,0.3,0.25,0.7,88,70,92,75,0.39473684210526316,0.9133567313170269,0.00014999925000374999,0.49464285714285705,134.1640786499874
SPC-002,self_polishing,丙烯酸锌SPC,32.0,72,18.0,28,200,0.32,0.22,0.68,85,68,88,72,0.4383561643835616,0.9422204733332609,0.0001399993000035,0.479,135.7645019878171
SPC-003,self_polishing,硅基自抛光,28.0,80,15.0,25,180,0.35,0.18,0.72,90,75,85,80,0.345679012345679,0.9704060527839233,0.0001388881172882373,0.5122857142857142,108.44353369380768
SPC-004,self_polishing,水解型SPC,33.0,70,22.0,35,250,0.38,0.2,0.65,82,65,90,70,0.4647887323943662,1.1914878020530768,0.00013999944000224,0.473,154.78372007417317
SPC-005,self_polishing,离子交换型SPC,29.0,78,16.0,32,200,0.33,0.28,0.7,86,72,86,76,0.3670886075949367,0.9349604035385514,0.00015999920000399999,0.5102857142857142,116.0
BIO-001,bioinspired,仿贻贝PDA涂层,40.0,50,5.0,40,100,0.65,0.3,0.55,78,72,75,74,0.7843137254901961,1.1646436549982357,0.0003999960000399996,0.47785714285714287,89.44271909999159
BIO-002,bioinspired,仿鲨鱼皮微结构,22.0,108,8.0,200,50,0.1,0.05,0.6,80,88,40,82,0.2018348623853211,0.21972245773362198,0.003999920001599968,0.3797857142857143,62.22539674441619
BIO-003,bioinspired,仿荷叶超疏水,12.0,155,5.0,300,80,0.02,0.03,0.55,85,92,50,88,0.07692307692307693,0.0358351893845611,0.00374995312558593,0.36792857142857144,26.832815729997478
BIO-004,bioinspired,仿海豚皮弹性体,24.0,95,3.0,100,200,0.15,0.08,0.58,76,84,45,78,0.25,0.2079441541679836,0.0004999975000124999,0.42114285714285715,41.569219381653056
BIO-005,bioinspired,PVP-酚类LBL自组装,38.0,52,6.0,25,50,0.7,0.2,0.5,82,76,80,78,0.7169811320754716,1.3621371043387192,0.000499990000199996,0.4812857142857142,93.08061022576076
BIO-006,bioinspired,漆酚-苯并噁嗪-Cu,25.0,98,10.0,35,150,0.15,0.18,0.72,84,86,78,82,0.25252525252525254,0.35968429091975557,0.00023333177778814808,0.486,79.05694150420949
BIO-007,bioinspired,巨噬细胞仿生动态涂层,28.0,82,4.0,20,180,0.4,0.25,0.6,88,90,75,88,0.3373493975903614,0.6437751649736402,0.00011111049383058984,0.5109285714285714,56.0
NAN-001,nanocomposite,ZnO纳米粒子/环氧,35.0,68,1500.0,80,150,0.25,0.15,0.85,78,65,90,70,0.5072463768115942,1.8284717079083654,0.0005333297778014813,0.4482142857142858,1355.544171172596
NAN-002,nanocomposite,Ag纳米粒子/聚氨酯,30.0,78,50.0,50,120,0.2,0.12,0.8,82,72,95,76,0.379746835443038,0.7863651265448652,0.0004166631944733794,0.46657142857142864,212.13203435596427
NAN-003,nanocomposite,TiO2纳米管/硅树脂,28.0,85,25.0,100,100,0.18,0.1,0.75,80,82,88,80,0.32558139534883723,0.5864573768438668,0.000999990000099999,0.44014285714285717,140.0
NAN-004,nanocomposite,GO纳米片/环氧,32.0,72,2000.0,60,100,0.22,0.18,0.88,76,60,85,68,0.4383561643835616,1.6723085136084213,0.0005999940000599994,0.4792857142857143,1431.0835055998655
NAN-005,nanocomposite,Cu2O纳米粒子/丙烯酸,34.0,65,800.0,70,200,0.28,0.2,0.82,84,68,92,74,0.5151515151515151,1.8720410651791408,0.00034999825000874994,0.46599999999999997,961.6652224137047
NAN-006,nanocomposite,SiO2纳米球/氟碳,18.0,130,20.0,120,80,0.05,0.08,0.86,88,94,55,90,0.13740458015267176,0.15222612188617116,0.0014999812502343721,0.4845714285714286,80.49844718999243
NAN-007,nanocomposite,CNT/PDMS复合,20.0,112,8.0,40,150,0.1,0.06,0.72,80,88,60,84,0.17699115044247787,0.21972245773362198,0.0002666648889007407,0.4858571428571428,56.568542494923804
SMT-001,smart,pH响应型涂层,35.0,58,5.0,30,200,0.55,0.35,0.5,82,78,80,80,0.5932203389830508,0.9854677080754303,0.00014999925000374999,0.48964285714285716,78.26237921249265
SMT-002,smart,温度响应PNIPAM,38.0,50,2.0,25,180,0.65,0.2,0.45,78,72,72,74,0.7450980392156863,0.7140979876342713,0.0001388881172882373,0.4612857142857143,53.74011537017761
SMT-003,smart,光响应TiO2涂层,30.0,72,15.0,45,120,0.25,0.15,0.7,80,75,92,78,0.410958904109589,0.6931471805599453,0.0003749968750260414,0.46321428571428563,116.1895003862225
SMT-004,smart,动态共价键涂层,26.0,88,4.5,18,200,0.38,0.3,0.62,86,90,72,86,0.29213483146067415,0.6478042750506016,8.999955000224999e-05,0.5312857142857143,55.154328932550705
SMT-005,smart,液态光滑涂层(SLIPS),15.0,110,1.0,5,100,0.08,0.02,0.4,92,96,60,94,0.13513513513513514,0.055451774444795626,4.999950000499995e-05,0.45685714285714285,15.0
SMT-006,smart,多机制协同响应,24.0,92,3.5,22,180,0.42,0.28,0.58,90,92,78,90,0.25806451612903225,0.6317125066460352,0.0001222215432136488,0.5385714285714286,44.8998886412873
