filename,title,doi,year,journal,abstract,pages,size_mb,authors,citationCount
!s11998-024-01018-y.pdf,Synthesis of eugenol ester-based sily-acrylate polymer and its antifouling properties,10.1007/s11998-,2024,,"Marine biofouling has caused huge eco- nomic and energy losses, and the application of marine antifouling coatings is one of the effective solutions to this problem. Sily-acrylate based self-polishing coatings are favored because of excellent antifouling perfor- mance. However, weak static antifouling performance restricts the development of sily-acrylate based antifouling coatings. To solve this problem, an eugenol ester-based sily-acrylate polymer (EMSPs) is synthe- sised, which showed both self-polishing and antifouling performance. The highest content of eugenol (EMSP- 16) inhibits Staphyl",10,1.71,,
#1-s2.0-S0001868620300464-main.pdf,Superhydrophilicity and strong salt-affinity: Zwitterionic polymer grafted surfaces with significant potentials particularly in biological systems,10.1016/j.cis.2020.102141,2020,Advances in Colloid and Interface Science,"a r t i c l e i n f o Article history: 11 March 2020 Available online 16 March 2020 In recent years, zwitterionic polymers have been frequently reported to modify various surfaces to enhance hy- drophilicity, antifouling and antibacterial properties, which show signiﬁcant potentials particularly in biological systems. This review focuses on the fabrication, properties and various applications of zwitterionic polymer grafted surfaces. The “graft-from” and “graft-to” strategies, surface grafting copolymerization and post zwitterionization methods were adopted to graft lots type of the zwitterion",18,3.04,Dongxiang Li; Qianling Wei; Chunxing Wu; Xiaofang Zhang; Qihao Xue; Taoran Zheng; Meiwen Cao,128
#1-s2.0-S0009250919305457-main.pdf,Slime-resistant marine anti-biofouling coating with PVP-based copolymer in PDMS matrix,10.1016/j.ces.2019.06.042,2019,Chemical Engineering Science,"Poly(dimethylsiloxane) (PDMS) has been widely used as the fouling-release coatings due to its low sur- face energy. However, for marine anti-biofouling applications, current PDMS-based materials with hydrophobic property still suffer from marine slime attachment. Therefore, the design of novel amphiphi- lic coatings by modifying PDMS with hydrophilic polymers has been widely explored. In this work, based on poly(N-vinylpyrrolidone) (PVP), a novel hydrophilicity-active poly(N-vinyl-2-pyrrolidone-co-methyl methacrylate-co-butyl acrylate-co- 2-hydroxyethyl methacrylate) (PNMBH) was synthesized us",9,2.98,Weiqiang Zhao; Jing Yang; Hongshuang Guo; Tong Xu; Qingsi Li; Chiyu Wen; Xiaojie Sui; Cunguo Lin; Jinwei Zhang; Lei Zhang,63
#1-s2.0-S0257897224011782-main.pdf,A bio-inspired liquid-like smooth copolymer coating with superior biofouling resistance and drag reduction,10.1016/j.surfcoat.2024.131547,2024,Surface and Coatings Technology,"The marine biofouling and fluid resistance have a detrimental impact on underwater vehicles. It is essential to develop functional material integrated with both antifouling and drag reduction effects for maritime trans­ portation and navigation. Herein, to avoid the disadvantages of common slippery liquid-infused surfaces, such as the complexity of preparation micro/nanopores and the depletion of the lubricant layer, the novel liquid-like coating was fabricated by integrating the synthesized long chain organosilicon monomer (HPSM) to the self- polishing polymer chains. It is that the ingenious",10,5.49,Jianbin Zhang; Meijun Feng; Xiaotong Wu; Qiangliang Yu; Daoai Wang; Libang Feng; Yanhua Liu; Wufang Yang; Xiaowei Pei; Feng Zhou,11
#1-s2.0-S1381514817301335-main.pdf,Applications of zwitterionic polymers,10.1016/j.reactfunctpolym.2017.07.006,2017,Reactive and Functional Polymers,"Zwitterionic polymers are characterized with equal anion and cation groups on the molecular chains, which make them highly hydrophilic and antifouling. They can resist nonspeciﬁc protein adsorption, bacterial adhe- sion, and bioﬁlm formation. Therefore, they have great potential to be applied in a wide range of biological and medical related ﬁelds, such as antifouling coatings of biomedical implants, blood contacted sensor and drug delivery in vivo, separation membrane and marine coatings. The review mainly focuses on the progress of those applications of zwitterionic polymers on the molecular",11,1.34,Liuchun Zheng; Harihara S. Sundaram; Zhiyong Wei; Chuncheng Li; Zhefan Yuan,261
#1-s2.0-S2214993724001957-main.pdf,Development of a mechanically robust silicon-based cross-linking polymer for the sustainable marine antifouling coatings,10.1016/j.susmat.2024.e01015,2024,Sustainable Materials and Technologies,"Silicone-based fouling release coatings (FRCs) have shown great promise as an environmentally friendly anti- fouling technology, while inferior mechanical properties and insufficient substrate adhesion have hindered their further application. We focused on enhancing the mechanical robustness of silicone-based coating through the synergistic effects of hydrogen bonding, π-π aromatic interaction and covalent bonding. The resulting silicone- based coating displayed a low surface energy of 23 mJ/m2 and improved mechanical strength and substrate adhesion, offering values up to 6.4 MPa (9.1 times hi",12,7.39,Xiaowei An; Jiannan Cheng; Qi Li; Jiyun Tang; Zongkui Li; Liwei Liu; Hui Yang; Chunyang Wei,7
#1-s2.0-S2468013325000580-main.pdf,Research progress of environmentally friendly degradable marine antifouling coatings,10.1016/j.joes.2025.08.011,2025,Journal of Ocean Engineering and Science,"Marine biofouling, i.e., the attachment of biomaterial on the surfaces of submerged objects, has long been a serious hazard to marine economies and ecosystems. Environmentally friendly degradable antifouling coatings developed in the last decade or so can efficiently replace traditional toxic antifouling coatings based on the following advantages: full degradability, non-discriminatory resistance to fouling, low addition of antifouling agents, and high compatibility with other antifouling mechanisms. However, current research and few available reviews neglect the degradation reaction kinetics ",27,35.4,Lian-chao Wang; Baihua Yuan; Lu-Wen Zhang,4
#Adv Funct Materials - 2020 - Maan - Recent Developments and Practical Feasibility of Polymer‐Based Antifouling Coatings.pdf,Recent Developments and Practical Feasibility of Polymer‐Based Antifouling Coatings,10.1002/adfm.202000936,2020,Advanced Functional Materials,,30,4.23,Anna M. C. Maan; Anton H. Hofman; Wiebe M. de Vos; Marleen Kamperman,698
#Advanced Materials - 2025 - Huang - Leveraging Polymeric Design for Marine Anti‐Biofouling  Mechanism  System  and Future.pdf,"Leveraging Polymeric Design for Marine Anti‐Biofouling: Mechanism, System, and Future",10.1002/adma.202518234,2025,Advanced Materials,,25,6.89,Yinjie Huang; Bohao Dou; Zhenqiang Zhang; Guangzhao Zhang; Chunfeng Ma,13
#B801491D.pdf,Advances in polymers for anti-biofouling surfaces,10.1039/b801491d,2008,Journal of Materials Chemistry,,9,0.47,Sitaraman Krishnan; Craig J. Weinman; Christopher K. Ober,783
#C8SM01853G.pdf,rsc.li/soft-matter-journal,,2019,,,22,7.58,,
#D2TB01851A.pdf,Mussel-inspired polymeric coatings with the antifouling efficacy controlled by topologies,10.1039/d2tb01851a,2022,Journal of Materials Chemistry B,,10,1.03,Chenxi Xiong; Wenjuan Xiong; Youbing Mu; Danfeng Pei; Xiaobo Wan,15
#Macromolecular Rapid Communications - 2016 - Dundua - Improved Antifouling Properties of Polydimethylsiloxane Films via.pdf,Improved Antifouling Properties of Polydimethylsiloxane Films via Formation of Polysiloxane/Polyzwitterion Interpenetrating Networks,10.1002/marc.201600473,2016,Macromolecular Rapid Communications,,7,0.88,Alexander Dundua; Steffen Franzka; Mathias Ulbricht,46
#Macromolecular Rapid Communications - 2017 - Galli - Amphiphilic Polymer Platforms  Surface Engineering of Films for Marine (1).pdf,Amphiphilic Polymer Platforms: Surface Engineering of Films for Marine Antibiofouling,10.1002/marc.201600704,2017,Macromolecular Rapid Communications,,20,4.5,Giancarlo Galli; Elisa Martinelli,140
#Macromolecular Rapid Communications - 2017 - Galli - Amphiphilic Polymer Platforms  Surface Engineering of Films for Marine.pdf,Amphiphilic Polymer Platforms: Surface Engineering of Films for Marine Antibiofouling,10.1002/marc.201600704,2017,Macromolecular Rapid Communications,,20,4.5,Giancarlo Galli; Elisa Martinelli,140
#amphiphilic-zwitterionic-acrylate-methacrylate-copolymers-for-marine-fouling-release-coatings.pdf,Amphiphilic Zwitterionic Acrylate/Methacrylate Copolymers for Marine Fouling-Release Coatings,10.1021/acs.langmuir.1c00428,2021,Langmuir,Methacrylate and acrylate monomers are popular building blocks for antifouling (AF) and fouling-release (FR) coatings to counteract marine biofouling. They are used in various combinations and often combined into amphiphilic materials. This study investigated the FR properties of amphiphilic ethylene glycol dicyclopentenyl ether acrylate (DCPEA) and the corresponding methacrylate (DCPEMA) blended with 5 wt % zwitterionic carboxybetaine acrylate (CBA) and the corresponding methacrylate (CBMA). A series of (co)polymers with diﬀerent acrylate/methacrylate compositions were synthesized and tested ,10,4.76,Florian Koschitzki; Robin Wanka; Lennart Sobota; Harrison Gardner; Kelli Z. Hunsucker; Geoffrey W. Swain; Axel Rosenhahn,38
#annurev-chembioeng-060718-030401.pdf,Polymer-Based Marine,10.1146/annurev-chembioeng-,2026,,"In marine industries, the accumulation of organic matter and marine or- ganisms on ship hulls and instruments limits performance, requiring fre- quent maintenance and increasing fuel costs. Current coatings technology to combat this biofouling relies heavily on the use of toxic, biocide-containing paints. These pose a serious threat to marine ecosystems, affecting both tar- get and nontarget organisms. Innovation in the design of polymers offers an excellent platform for the development of alternatives, but the creation of a broad-spectrum, nontoxic material still poses quite a hurdle for rese",24,0.74,,
#degradable-vinyl-polymers-for-combating-marine-biofouling.pdf,Degradable Vinyl Polymers for Combating Marine Biofouling,10.1021/acs.accounts.2c00187,2022,Accounts of Chemical Research,,13,2.72,Jiansen Pan; Xiaoqing Ai; Chunfeng Ma; Guangzhao Zhang,139
#pj2015137.pdf,Anti-fouling behavior of polymer brush immobilized surfaces,10.1038/pj.2015.137,2016,Polymer Journal,,7,1.09,Yuji Higaki; Motoyasu Kobayashi; Daiki Murakami; Atsushi Takahara,178
#s10965-020-02054-z.pdf,An overview of controlled-biocide-release coating based on polymer resin for marine antifouling applications,10.1007/s10965-020-02054-z,2020,Journal of Polymer Research,"Biofouling is one of the major worldwide problems associated with the vessel due to its accumulation with the surface of the ship hull. The biofouling is the main origin of the coating’s deterioration that ultimately leads to bio-corrosion, roughness and drag, resulting in an enormous increase in the fuel consumption. Although Tributyltin (TBT) has been used as a pioneer class of antifoulant to overcome this problem, however, after the legal restriction on TBT, some biocides have been used as its alterna- tives. These biocides are potentially harmful to the environment due to the higher releas",17,14.11,Abid Ali; Muhammad Imran Jamil; Jingxian Jiang; Muhammad Shoaib; Bilal Ul Amin; Shengzhe Luo; Xiaoli Zhan; Fengqiu Chen; Qinghua Zhang,79
#s10965-022-03041-2.pdf,Designs of zwitterionic polymers,10.1007/s10965-022-03041-2,2022,Journal of Polymer Research,"Zwitterionic polymers have become a kind of potential biomaterial system used to design nonfouling interfaces between general materials and biological environments. This antifouling polymer system is inspired by biology, especially due to the presence of zwitterions or alternately charged groups on cell membranes and protein surfaces. Previous systematic studies have shown that the zwitterionic polymer system can exhibit excellent anti-adsorption, anti-coagulation, anti-adhesion and anti-attachment functions for biological components such as human proteins, blood cells, tissue cells, general b",19,2.51,Yung Chang,54
#s11998-010-9307-9.pdf,Waterborne polysiloxane–urethane–urea for potential marine coatings,10.1007/s11998-010-9307-9,2010,Journal of Coatings Technology and Research,"Waterborne polysiloxane–urethane–ureas (WBPSUU) were prepared through a prepolymer process using siloxane polyol, namely poly- dimethylsiloxane (PDMS) and polyether polyol, namely poly(tetramethyleneoxide glycol) (PTMG) as the soft segments. The goal of this study was to explore the potential use of polysiloxane–urethane–urea in marine coatings in order to boost the ﬂexibility, adhesion, erosion, and foul-release property with respect to PDMS/PTMG ratio (PDMS wt%). The structural elucidation of the synthesized waterborne polyurethane and WBPSUU was carried out by FTIR, 1H NMR, and 29Si NMR spe",11,0.98,Mohammad Mizanur Rahman; Ho-Hwan Chun; Hyun Park,49
#s11998-021-00526-5.pdf,Integration of antifouling and foul-release moieties for optimizing the performance of PEG-silicone coatings,10.1007/s11998-,2021,,"Antifouling coatings are critical in prevent- ing the surface of sea vessels being heavily fouled by bio-organisms. In this work, we attached biocidal moieties (Isobornyl methacrylate, IBOMA) to the side chains of the polyacrylic polymer to form the antifoul- ing polymer (AFP). Then, the hydrophilic polysiloxane (HP) was prepared through the polyaddition of polyethylene glycol (PEG) and alkoxysilane onto the main chain of the hydrogen silicone oil. Finally, the hydrophilic fouling release coatings (FRCs) were formed by the reaction or winding of antifouling polymer and HP polymer with an inter",9,1.5,,
#s11998-021-00581-y.pdf,Study on the acrylate coating with chemically bonded functional group for antiseawater bioadhesion,10.1007/s11998-021-00581-y,2022,Journal of Coatings Technology and Research,"The adhesion foundation of seawater organ- isms can be eliminated by killing the bacteria on the surface of objects in seawater. Thus, 4-bromo-2-(4- chlorophenyl)-5-(triﬂuoromethyl)-1H-pyrrole-3-car- bonitrile (Econea) was selected as the core functional group to conduct the solution grafting reaction with the epoxy-containing acrylate copolymer (EA) to yield the marine antifouling paint, EA–Econea. UV absorption spectrum, Fourier transform infrared spectrum (FTIR) and energy dispersive spectrometer (EDS) analyses veriﬁed that Econea was exactly bonded to the EA molecular chain. Furthermore, t",9,1.67,Jin Pan; Ye Liu; Xuanyu Shentu; Dafu Wei; Yachao Jiang; Yong Guan; Anna Zheng; Xiang Xu,1
#综述1-s2.0-S0079670014000227-main.pdf,Polymer brush coatings for combating marine biofouling,10.1016/j.progpolymsci.2014.02.002,2014,Progress in Polymer Science,"A variety of functional polymer brushes and coatings have been developed for com- bating marine biofouling and biocorrosion with much less environmental impact than traditional biocides. This review summarizes recent developments in marine antifoul- ing polymer brushes and coatings that are tethered to material surfaces and do not actively release biocides. Polymer brush coatings have been designed to inhibit molecu- lar fouling, microfouling and macrofouling through incorporation or inclusion of multiple functionalities. Hydrophilic polymers, such as poly(ethylene glycol), hydrogels, zwitteri",26,6.31,Wen Jing Yang; Koon-Gee Neoh; En-Tang Kang; Serena Lay-Ming Teo; Daniel Rittschof,489
1-s2.0-S030094402400153X-main.pdf,Anti-fouling amphiphilic surfaces from norbornene-based fluorinated copolymers with excellent mechanical properties,10.1016/j.porgcoat.2024.108361,2024,Progress in Organic Coatings,"Amphiphilic coatings have garnered significant attention in the realm of fouling resistance due to their potential to reduce fouling adhesion and enhance fouling release. However, developing anti-fouling amphiphilic surfaces with robust mechanical properties remains a formidable challenge. Herein, a series of norbornene-based amphiphilic copolymers (PNPFE-PEG-x) with varying NPEG mass fractions (0–50 wt%) were well-designed and fabricated via living ring-opening metathesis polymerization (ROMP) employing norbornene-based fluori­ nated monomer (NPFE) and poly(ethylene glycol) (NPEG) monomer. Th",9,5.49,Zhilu Gao; Xuan Zhao; Guangzeng Luo; Wen Yang; Wenqi Zhang; Hang Wang; Chuanyong Zong; Lan Lei; Hui Li,5
1-s2.0-S2213343720302979-main.pdf,Effective Fabrication and Characterization of Eco-friendly Nano Chitosan Capped Zinc Oxide Nanoparticles for Effective Marine Fouling Inhibition,10.1016/j.jece.2020.103949,2020,Journal of Environmental Chemical Engineering,"Since the inhibition of organotin as antifouling additives in 2003, many scientists direct their eﬀorts to develop novel environment-friendly marine antifouling additives. This work declares and evaluates the antifouling ac- tivity of Nano chitosan capped ZnO nanoparticles against primary bioﬁlm and biofouling. Chitosan nanoparticles were prepared from the shrimp shell obtained, which will be environmentally friendly and will have no adverse eﬀects on the environment's antialgal, antimicrobial and antifungal characteristics. Using co-precipitation method, the present study manages synthesis an",9,3.79,Hend Al-aidy El-saied; Ahmed Mohammed Ibrahim,46
1.pdf,"A marine coating: Self-healing, stable release of Cu2+, anti-biofouling",10.1016/j.marpolbul.2023.115524,2023,Marine Pollution Bulletin,"We developed a marine coating consisting of Cu-MOF-74, multi-walled carbon nanotube containing carboxyl groups (MWCNT-COOH) and self-healing polymers, which simultaneously possesses self-healing and anti- biofouling properties. Cu-MOF-74 can stably release Cu2+ by virtue of the coordination dissociative mecha­ nism. Studies have proved that MWCNT can inhibit the growth of bacteria, so adding the MWCNT can help to reduce the amount of the copper ions and ensure the antibacterial effect of the coating. In addition, the cross- linked network and abundant -COOH provided by the polymers and MWCNT-C",10,9.96,Liuqin Zhang; Huali Li; Xiaohu Zhang; Qiuping Li; Guangyu Zhu; Fa-Qian Liu,15
10.pdf,Novel marine antifouling coatings inspired by corals,10.1016/j.mtchem.2020.100294,2020,Materials Today Chemistry,"Biofouling is a major problem facing the marine industry. Since toxic antifouling coatings were banned globally due to their negative impacts on the marine environment, the development of environmental- friendly and efﬁcient antifouling coatings has been identiﬁed as a pressing need. As an alternative, the antifouling coatings inspired by corals have attracted a great deal of attention over these years. within the marine environment, corals have evolved an excellent antifouling capability. There are ﬁve major antifouling strategies applied by corals, including natural antifoulants, foul releas",8,1.75,L. Tian; Y. Yin; H. Jin; W. Bing; E. Jin; J. Zhao; L. Ren,61
100.pdf,Attachment of silver nanoparticles (AgNPs) onto thin-film composite (TFC) membranes through covalent bonding to reduce membrane biofouling,10.1016/j.memsci.2013.03.060,2013,Journal of Membrane Science,"Membrane biofouling has a negative impact on the membrane treatment performance. Silver nanoparticles (AgNPs) are well-known antimicrobial agent. Herein, AgNPs with approximately 15 nm in diameter were effectively attached to the surface of polyamide (PA) thin-ﬁlm composite (TFC) membrane via covalent bonding, with cysteamine as a bridging agent. Scanning electron microscopy (SEM), energy dispersive X-ray spectroscopy (EDS) and cross-sectional transmission electron microscopy (TEM) studies all showed the immobilization of AgNPs. Compared with the pristine TFC membrane, thiol-terminated membran",10,7.81,Jun Yin; Yu Yang; Zhiqiang Hu; Baolin Deng,330
101.pdf,"Superhydrophobic, superamphiphobic and SLIPS materials as anti-corrosion and anti-biofouling barriers",10.1039/d1nj03158a,2021,New Journal of Chemistry,,10,8.53,Binbin Zhang; Weichen Xu,90
11.pdf,Setting an agenda for biofouling research for the marine renewable energy industry,10.1016/j.ijome.2017.08.006,2017,International Journal of Marine Energy,"Extensive marine growth on man-made structures in the ocean is commonplace, yet there has been limited discussion about the potential implications of marine growth for the wave and tidal energy industry. In response, the Environmental Interactions of Marine Renewables (EIMR) Biofouling Expert Workshop was convened. Discussions involved par- ticipants from the marine renewable energy (MRE) industry, anti-fouling industry, aca- demic institutions and regulatory bodies. The workshop aimed to consider both the beneﬁts and negative effects of biofouling from engineering and ecological perspectives.",12,1.16,J. Loxton; A.K. Macleod; C.R. Nall; T. McCollin; I. Machado; T. Simas; T. Vance; C. Kenny; A. Want; R.G. Miller,49
111111.pdf,,,,,,4,6.56,,
112.pdf,Silicone-Based Fouling-Release Coatings for Marine Antifouling,10.1021/acs.langmuir.9b03926,2020,Langmuir,"Marine biofouling profoundly inﬂuences marine industries and activities. It slows the speed and increases the fuel consumption of ships, corrodes oﬀshore platforms, and blocks seawater pipelines. The most eﬀective and economical antifouling approach uses coatings. Fouling-release coatings (FRCs) with low surface free energy and high elasticity weakly adhere to marine organisms, so they can be readily removed by the water shear force. FRCs have attracted increasing interest because they are biocide-free and hence ecofriendly. However, traditional silicone-based FRCs have weak adhesion to substr",14,7.89,Peng Hu; Qingyi Xie; Chunfeng Ma; Guangzhao Zhang,410
114.pdf,The Anti-Biofouling Properties of Superhydrophobic Surfaces are Short-Lived,10.1021/acsnano.8b02293,2018,ACS Nano,"Superhydrophobic surfaces are present in nature on the leaves of many plant species. Water rolls on these surfaces, and the rolling motion picks up particles including bacteria and viruses. Man-made superhydrophobic surfaces have been made in an eﬀort to reduce biofouling. We show here that the anti-biofouling property of a superhydrophobic surface is due to an entrapped air-bubble layer that reduces contact between the bacteria and the surface. Further, we showed that prolonged immersion of superhydrophobic surfaces in water led to loss of the bubble-layer and subsequent bacterial adhesion th",9,4.75,Gi Byoung Hwang; Kristopher Page; Adnan Patir; Sean P. Nair; Elaine Allan; Ivan P. Parkin,337
115.pdf,Antifouling potentials of eight deep-sea-derived fungi from the South China Sea,10.1007/s10295-014-1412-9,2014,Journal of Industrial Microbiology and Biotechnology,"Marine-derived microbial secondary metabo- lites are promising potential sources of nontoxic antifoul- ing agents. The search for environmentally friendly and low-toxic antifouling components guided us to investigate the antifouling potentials of eight novel fungal isolates from deep-sea sediments of the South China Sea. Sixteen crude ethyl acetate extracts of the eight fungal isolates showed distinct antibacterial activity against three marine bacteria (Loktanella hongkongensis UST950701–009, Micrococcus luteus UST950701–006 and Pseudoalteromonas piscida UST010620–005), or significant antilar",8,0.57,Xiao-Yong Zhang; Xin-Ya Xu; Jiang Peng; Chun-Feng Ma; Xu-Hua Nong; Jie Bao; Guang-Zhao Zhang; Shu-Hua Qi,25
